Name,Country,Links,government,1.1. App has defined lifetime,1.2. Data storage is time-limited,2.1. Opt-in download and use,2.2. Opt-in data sharing,2.3. Not tied to other benefits,3.1. Data used only for establishing contacts,3.2. No PII collection,4.1. Open source,4.2. Published privacy policy,5.1. Freely available,5.2. Android and iOS (when necessary),6.1. Decentralized storage,6.2. Can erase data,7.1. Decentralized matching,7.2. Rotating randomized beacon,"8.1. Contact accuracy (BLE, not GPS or other)",8.2. Positive cases verified by test,protocol,Installs (Google Play),Average Rating (Google Play),who_region,status,date_released,date_cancelled
diAry,Italy,https://covid19app.uniurb.it/en/diary-lets-stop-covid-19-together/,no,no,30 days,yes,yes,no (WOM vouchers),no,no,yes,yes,yes,both,yes,yes,no,na,gps,unknown,none,500,,EURO,development,,
COVID19Radar,Japan,https://lp-covid-19radarjapan.studio.design/,no,no,14 days,yes,yes,yes,unknown,no,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,none,,,WPRO,released,2020-05-25,
COCOA,Japan,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/cocoa_00138.html,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"1,000,000",2.7,WPRO,released,2020-06-17,
Jersey COVID Alert,Jersey,https://covidalert.gov.je/Pages/default.aspx,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"10,000",3.3,EURO,released,2020-10-12,
AMAN App,Jordan,https://www.amanapp.jo/en,yes,no,14 days,yes,yes,unknown,yes,yes,no,yes,yes,both,yes,yes,no,na,gps,yes,none,"500,000",4.4,EMRO,released,2020-05-21,
Saqbol,Kazakhstan,https://egov.kz/cms/en/information/about/Saqbol_mobileapp,yes,no,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",1.8,EURO,released,2020-09-02,
Shlonik,Kuwait,https://play.google.com/store/apps/details?id=com.healthcarekw.app&hl=en_US,yes,no,unknown,yes,yes,no,no (quarantine),no,no,no,yes,android only,no,unknown,no,no,gps,unknown,none,"50,000",4.0,EMRO,released,2020-04-09,
Apturi Covid Latvia,Latvia,https://apturicovid.lv/#en,yes,no,14 days,yes,yes,yes,yes,yes,yes,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"50,000",3.5,EMRO,released,2020-05-26,
Korona Stop LT,Lithuania,https://koronastop.lrv.lt/en/,yes,yes,14 days,yes,yes,yes,yes,yes,no,yes,yes,both,yes,yes,yes,yes,ble,yes,Apple/Google,"100,000",2.1,EURO,released,2020-11-03,
MyTrace,Malaysia,https://www.malaysiakini.com/news/523824,yes,yes,unknown,yes,yes,unknown,unknown,no,no,no,yes,both,unknown,unknown,unknown,unknown,ble,yes,none,"100,000",3.9,WPRO,released,2020-04-22,
